listing_id,entire_home_or_apt,year-month,season,percentage_of_nights_available
1646847,True,2024-01,Winter-24,0.0
1646847,True,2024-02,Winter-24,0.0
1646847,True,2024-03,Spring-24,0.0
1650401,True,2023-03,Spring-23,0.0
1650401,True,2023-04,Spring-23,0.0
1650401,True,2023-05,Spring-23,0.0
1650401,True,2023-06,Summer-23,0.0
1650401,True,2023-07,Summer-23,0.0
1650401,True,2023-08,Summer-23,0.613
1650401,True,2023-09,Fall-23,0.6
1650401,True,2023-10,Fall-23,0.0
1650401,True,2023-11,Fall-23,0.0
1650401,True,2023-12,Winter-23,0.0
1650401,True,2024-01,Winter-24,0.0
1650401,True,2024-02,Winter-24,0.0
1650401,True,2024-03,Spring-24,0.0
1651319,True,2023-03,Spring-23,0.0
1651319,True,2023-04,Spring-23,0.0
1651319,True,2023-05,Spring-23,0.0
1651319,True,2023-06,Summer-23,0.833
1651319,True,2023-07,Summer-23,1.0
1651319,True,2023-08,Summer-23,0.0
1651319,True,2023-09,Fall-23,0.0
1651319,True,2023-10,Fall-23,0.0
1651319,True,2023-11,Fall-23,0.0
1651319,True,2023-12,Winter-23,0.0
1651319,True,2024-01,Winter-24,0.0
1651319,True,2024-02,Winter-24,0.0
1651319,True,2024-03,Spring-24,0.0
1661004,True,2023-03,Spring-23,0.0
1661004,True,2023-04,Spring-23,0.067
1661004,True,2023-05,Spring-23,0.645
1661004,True,2023-06,Summer-23,1.0
1661004,True,2023-07,Summer-23,0.774
1661004,True,2023-08,Summer-23,0.806
1661004,True,2023-09,Fall-23,0.6
1661004,True,2023-10,Fall-23,0.0
1661004,True,2023-11,Fall-23,0.0
1661004,True,2023-12,Winter-23,0.0
1661004,True,2024-01,Winter-24,0.0
1661004,True,2024-02,Winter-24,0.0
1661004,True,2024-03,Spring-24,0.0
1665757,True,2023-03,Spring-23,0.0
1665757,True,2023-04,Spring-23,0.633
1665757,True,2023-05,Spring-23,1.0
1665757,True,2023-06,Summer-23,1.0
1665757,True,2023-07,Summer-23,1.0
1665757,True,2023-08,Summer-23,1.0
1665757,True,2023-09,Fall-23,1.0
1665757,True,2023-10,Fall-23,1.0
1665757,True,2023-11,Fall-23,1.0
1665757,True,2023-12,Winter-23,1.0
1665757,True,2024-01,Winter-24,1.0
1665757,True,2024-02,Winter-24,1.0
1665757,True,2024-03,Spring-24,1.0
1700420,False,2023-03,Spring-23,1.0
1700420,False,2023-04,Spring-23,1.0
1700420,False,2023-05,Spring-23,1.0
1700420,False,2023-06,Summer-23,0.633
1700420,False,2023-07,Summer-23,0.0
1700420,False,2023-08,Summer-23,0.0
1700420,False,2023-09,Fall-23,0.0
1700420,False,2023-10,Fall-23,0.0
1700420,False,2023-11,Fall-23,0.0
1700420,False,2023-12,Winter-23,0.0
1700420,False,2024-01,Winter-24,0.0
1700420,False,2024-02,Winter-24,0.0
1700420,False,2024-03,Spring-24,0.0
1703888,True,2023-03,Spring-23,0.0
1703888,True,2023-04,Spring-23,0.0
1703888,True,2023-05,Spring-23,0.0
1703888,True,2023-06,Summer-23,0.0
1703888,True,2023-07,Summer-23,0.0
1703888,True,2023-08,Summer-23,0.0
1703888,True,2023-09,Fall-23,0.0
1703888,True,2023-10,Fall-23,0.0
1703888,True,2023-11,Fall-23,0.0
1703888,True,2023-12,Winter-23,0.0
1703888,True,2024-01,Winter-24,0.0
1703888,True,2024-02,Winter-24,0.0
1703888,True,2024-03,Spring-24,0.0
1717606,True,2023-03,Spring-23,0.0
1717606,True,2023-04,Spring-23,0.0
1717606,True,2023-05,Spring-23,0.0
1717606,True,2023-06,Summer-23,0.0
1717606,True,2023-07,Summer-23,0.0
1717606,True,2023-08,Summer-23,0.0
1717606,True,2023-09,Fall-23,0.0
1717606,True,2023-10,Fall-23,0.0
1717606,True,2023-11,Fall-23,0.0
1717606,True,2023-12,Winter-23,0.0
1717606,True,2024-01,Winter-24,0.0
1717606,True,2024-02,Winter-24,0.0
1717606,True,2024-03,Spring-24,0.0
1732272,True,2023-03,Spring-23,0.0
1732272,True,2023-04,Spring-23,0.0
1732272,True,2023-05,Spring-23,0.323
1732272,True,2023-06,Summer-23,0.733
1732272,True,2023-07,Summer-23,0.742
1732272,True,2023-08,Summer-23,1.0
1732272,True,2023-09,Fall-23,1.0
1732272,True,2023-10,Fall-23,1.0
1732272,True,2023-11,Fall-23,0.6
1732272,True,2023-12,Winter-23,1.0
1732272,True,2024-01,Winter-24,1.0
1732272,True,2024-02,Winter-24,1.0
1732272,True,2024-03,Spring-24,1.0
1737049,False,2023-03,Spring-23,1.0
1737049,False,2023-04,Spring-23,1.0
1737049,False,2023-05,Spring-23,1.0
1737049,False,2023-06,Summer-23,1.0
1737049,False,2023-07,Summer-23,1.0
1737049,False,2023-08,Summer-23,1.0
1737049,False,2023-09,Fall-23,1.0
1737049,False,2023-10,Fall-23,1.0
1737049,False,2023-11,Fall-23,1.0
1737049,False,2023-12,Winter-23,1.0
1737049,False,2024-01,Winter-24,1.0
1737049,False,2024-02,Winter-24,1.0
1737049,False,2024-03,Spring-24,1.0
1737074,True,2023-03,Spring-23,0.667
1737074,True,2023-04,Spring-23,0.8
1737074,True,2023-05,Spring-23,1.0
1737074,True,2023-06,Summer-23,0.467
1737074,True,2023-07,Summer-23,0.0
1737074,True,2023-08,Summer-23,0.0
1737074,True,2023-09,Fall-23,0.0
1737074,True,2023-10,Fall-23,0.0
1737074,True,2023-11,Fall-23,0.0
1737074,True,2023-12,Winter-23,0.0
1737074,True,2024-01,Winter-24,0.0
1737074,True,2024-02,Winter-24,0.0
1737074,True,2024-03,Spring-24,0.0
1747546,False,2023-03,Spring-23,0.0
1747546,False,2023-04,Spring-23,0.0
1747546,False,2023-05,Spring-23,0.0
1747546,False,2023-06,Summer-23,0.0
1747546,False,2023-07,Summer-23,0.0
1747546,False,2023-08,Summer-23,0.0
1747546,False,2023-09,Fall-23,0.0
1747546,False,2023-10,Fall-23,0.0
1747546,False,2023-11,Fall-23,1.0
1747546,False,2023-12,Winter-23,1.0
1747546,False,2024-01,Winter-24,1.0
1747546,False,2024-02,Winter-24,1.0
1747546,False,2024-03,Spring-24,1.0
1752439,True,2023-03,Spring-23,0.0
1752439,True,2023-04,Spring-23,0.0
1752439,True,2023-05,Spring-23,0.0
1752439,True,2023-06,Summer-23,0.0
1752439,True,2023-07,Summer-23,0.0
1752439,True,2023-08,Summer-23,0.0
1752439,True,2023-09,Fall-23,0.0
1752439,True,2023-10,Fall-23,0.0
1752439,True,2023-11,Fall-23,0.0
1752439,True,2023-12,Winter-23,0.0
1752439,True,2024-01,Winter-24,0.0
1752439,True,2024-02,Winter-24,0.0
1752439,True,2024-03,Spring-24,0.0
1826250,False,2023-03,Spring-23,0.0
1826250,False,2023-04,Spring-23,0.0
1826250,False,2023-05,Spring-23,1.0
1826250,False,2023-06,Summer-23,1.0
1826250,False,2023-07,Summer-23,1.0
1826250,False,2023-08,Summer-23,1.0
1826250,False,2023-09,Fall-23,1.0
1826250,False,2023-10,Fall-23,1.0
1826250,False,2023-11,Fall-23,1.0
1826250,False,2023-12,Winter-23,1.0
1826250,False,2024-01,Winter-24,1.0
1826250,False,2024-02,Winter-24,1.0
1826250,False,2024-03,Spring-24,1.0
1851090,True,2023-03,Spring-23,0.0
1851090,True,2023-04,Spring-23,0.033
1851090,True,2023-05,Spring-23,1.0
1851090,True,2023-06,Summer-23,0.3
1851090,True,2023-07,Summer-23,0.194
1851090,True,2023-08,Summer-23,1.0
1851090,True,2023-09,Fall-23,1.0
1851090,True,2023-10,Fall-23,1.0
1851090,True,2023-11,Fall-23,1.0
1851090,True,2023-12,Winter-23,1.0
1851090,True,2024-01,Winter-24,1.0
1851090,True,2024-02,Winter-24,1.0
1851090,True,2024-03,Spring-24,1.0
1851145,True,2023-03,Spring-23,0.333
1851145,True,2023-04,Spring-23,0.7
1851145,True,2023-05,Spring-23,0.452
1851145,True,2023-06,Summer-23,0.9
1851145,True,2023-07,Summer-23,1.0
1851145,True,2023-08,Summer-23,0.677
1851145,True,2023-09,Fall-23,1.0
1851145,True,2023-10,Fall-23,1.0
1851145,True,2023-11,Fall-23,1.0
1851145,True,2023-12,Winter-23,1.0
1851145,True,2024-01,Winter-24,1.0
1851145,True,2024-02,Winter-24,1.0
1851145,True,2024-03,Spring-24,1.0
1856414,True,2023-03,Spring-23,0.889
1856414,True,2023-04,Spring-23,1.0
1856414,True,2023-05,Spring-23,1.0
1856414,True,2023-06,Summer-23,1.0
1856414,True,2023-07,Summer-23,0.0
1856414,True,2023-08,Summer-23,0.0
1856414,True,2023-09,Fall-23,0.0
1856414,True,2023-10,Fall-23,1.0
1856414,True,2023-11,Fall-23,1.0
1856414,True,2023-12,Winter-23,1.0
1856414,True,2024-01,Winter-24,1.0
1856414,True,2024-02,Winter-24,1.0
1856414,True,2024-03,Spring-24,1.0
1880649,True,2023-03,Spring-23,0.222
1880649,True,2023-04,Spring-23,0.9
1880649,True,2023-05,Spring-23,1.0
1880649,True,2023-06,Summer-23,1.0
1880649,True,2023-07,Summer-23,1.0
1880649,True,2023-08,Summer-23,1.0
1880649,True,2023-09,Fall-23,1.0
1880649,True,2023-10,Fall-23,1.0
1880649,True,2023-11,Fall-23,1.0
1880649,True,2023-12,Winter-23,1.0
1880649,True,2024-01,Winter-24,1.0
1880649,True,2024-02,Winter-24,1.0
1880649,True,2024-03,Spring-24,1.0
1887261,True,2023-03,Spring-23,0.0
1887261,True,2023-04,Spring-23,0.5
1887261,True,2023-05,Spring-23,0.935
1887261,True,2023-06,Summer-23,1.0
1887261,True,2023-07,Summer-23,0.774
1887261,True,2023-08,Summer-23,1.0
1887261,True,2023-09,Fall-23,0.6
1887261,True,2023-10,Fall-23,0.0
1887261,True,2023-11,Fall-23,0.0
1887261,True,2023-12,Winter-23,0.0
1887261,True,2024-01,Winter-24,0.0
1887261,True,2024-02,Winter-24,0.0
1887261,True,2024-03,Spring-24,0.0
1914528,True,2023-03,Spring-23,0.889
1914528,True,2023-04,Spring-23,0.767
1914528,True,2023-05,Spring-23,0.097
1914528,True,2023-06,Summer-23,0.333
1914528,True,2023-07,Summer-23,0.0
1914528,True,2023-08,Summer-23,0.0
1914528,True,2023-09,Fall-23,0.0
1914528,True,2023-10,Fall-23,0.0
1914528,True,2023-11,Fall-23,0.0
1914528,True,2023-12,Winter-23,0.0
1914528,True,2024-01,Winter-24,0.0
1914528,True,2024-02,Winter-24,0.0
1914528,True,2024-03,Spring-24,0.0
1917726,True,2023-03,Spring-23,0.0
1917726,True,2023-04,Spring-23,0.333
1917726,True,2023-05,Spring-23,0.452
1917726,True,2023-06,Summer-23,0.467
1917726,True,2023-07,Summer-23,0.516
1917726,True,2023-08,Summer-23,0.935
1917726,True,2023-09,Fall-23,1.0
1917726,True,2023-10,Fall-23,1.0
1917726,True,2023-11,Fall-23,1.0
1917726,True,2023-12,Winter-23,1.0
1917726,True,2024-01,Winter-24,1.0
1917726,True,2024-02,Winter-24,1.0
1917726,True,2024-03,Spring-24,1.0
1998276,True,2023-03,Spring-23,0.0
1998276,True,2023-04,Spring-23,0.0
1998276,True,2023-05,Spring-23,0.968
1998276,True,2023-06,Summer-23,0.967
1998276,True,2023-07,Summer-23,0.0
1998276,True,2023-08,Summer-23,0.0
1998276,True,2023-09,Fall-23,0.133
1998276,True,2023-10,Fall-23,1.0
1998276,True,2023-11,Fall-23,1.0
1998276,True,2023-12,Winter-23,1.0
1998276,True,2024-01,Winter-24,1.0
1998276,True,2024-02,Winter-24,1.0
1998276,True,2024-03,Spring-24,1.0
2020429,True,2023-03,Spring-23,0.0
2020429,True,2023-04,Spring-23,0.4
2020429,True,2023-05,Spring-23,1.0
2020429,True,2023-06,Summer-23,1.0
2020429,True,2023-07,Summer-23,1.0
2020429,True,2023-08,Summer-23,1.0
2020429,True,2023-09,Fall-23,1.0
2020429,True,2023-10,Fall-23,1.0
2020429,True,2023-11,Fall-23,1.0
2020429,True,2023-12,Winter-23,1.0
2020429,True,2024-01,Winter-24,1.0
2020429,True,2024-02,Winter-24,1.0
2020429,True,2024-03,Spring-24,1.0
2020615,True,2023-03,Spring-23,0.0
2020615,True,2023-04,Spring-23,0.0
2020615,True,2023-05,Spring-23,0.387
2020615,True,2023-06,Summer-23,0.5
2020615,True,2023-07,Summer-23,0.548
2020615,True,2023-08,Summer-23,0.677
2020615,True,2023-09,Fall-23,0.6
2020615,True,2023-10,Fall-23,0.0
2020615,True,2023-11,Fall-23,0.0
2020615,True,2023-12,Winter-23,0.0
2020615,True,2024-01,Winter-24,0.0
2020615,True,2024-02,Winter-24,0.0
2020615,True,2024-03,Spring-24,0.0
2033330,True,2023-03,Spring-23,0.889
2033330,True,2023-04,Spring-23,0.0
2033330,True,2023-05,Spring-23,0.258
2033330,True,2023-06,Summer-23,0.0
2033330,True,2023-07,Summer-23,0.0
2033330,True,2023-08,Summer-23,0.0
2033330,True,2023-09,Fall-23,0.0
2033330,True,2023-10,Fall-23,0.0
2033330,True,2023-11,Fall-23,0.0
2033330,True,2023-12,Winter-23,0.0
2033330,True,2024-01,Winter-24,0.0
2033330,True,2024-02,Winter-24,0.0
2033330,True,2024-03,Spring-24,0.0
2033589,False,2023-03,Spring-23,0.333
2033589,False,2023-04,Spring-23,0.8
2033589,False,2023-05,Spring-23,0.71
2033589,False,2023-06,Summer-23,1.0
2033589,False,2023-07,Summer-23,1.0
2033589,False,2023-08,Summer-23,1.0
2033589,False,2023-09,Fall-23,1.0
2033589,False,2023-10,Fall-23,1.0
2033589,False,2023-11,Fall-23,1.0
2033589,False,2023-12,Winter-23,1.0
2033589,False,2024-01,Winter-24,1.0
2033589,False,2024-02,Winter-24,1.0
2033589,False,2024-03,Spring-24,1.0
2038802,True,2023-03,Spring-23,0.0
2038802,True,2023-04,Spring-23,0.0
2038802,True,2023-05,Spring-23,0.0
2038802,True,2023-06,Summer-23,0.0
2038802,True,2023-07,Summer-23,0.0
2038802,True,2023-08,Summer-23,0.0
2038802,True,2023-09,Fall-23,0.0
2038802,True,2023-10,Fall-23,0.0
2038802,True,2023-11,Fall-23,0.0
2038802,True,2023-12,Winter-23,0.0
2038802,True,2024-01,Winter-24,0.0
2038802,True,2024-02,Winter-24,0.0
2038802,True,2024-03,Spring-24,0.0
2089894,True,2023-03,Spring-23,0.444
2089894,True,2023-04,Spring-23,0.833
2089894,True,2023-05,Spring-23,1.0
2089894,True,2023-06,Summer-23,0.2
2089894,True,2023-07,Summer-23,0.742
2089894,True,2023-08,Summer-23,1.0
2089894,True,2023-09,Fall-23,0.6
2089894,True,2023-10,Fall-23,0.0
2089894,True,2023-11,Fall-23,0.0
2089894,True,2023-12,Winter-23,0.0
